Total Number of Aligned Reads:	294625	Total Number of Mapped Genomes:	12935
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_BMRF01000063.1	0.36836732969102237	0.2768638099278744	81571.0	0.2768638099278744	0.0	0.14153699374287879	0.10224893592536326	30125.09274701015	0.08930335171828596	0.1666219770895206
NZ_BMRF01000072.1	0.14128684832114613	0.11968095036062791	35261.0	0.11968095036062791	0.0	0.06252516426669952	0.04737083863669014	13956.633333334832	0.03955536699193891	0.045047093763258376
NZ_BHXD01000053.1	0.0788934237940832	0.06555112431056427	19313.0	0.06555112431056427	0.0	0.0788934237940832	0.06555112431056427	19313.0	0.06555112431056427	0.0
NZ_BMRF01000099.1	0.07428430953651975	0.054211285532456514	15972.0	0.054211285532456514	0.0	0.0290898454682578	0.02182265591853995	6429.499999999833	0.013189647857445906	0.030004242681374627
NZ_QPLJ01000067.1	0.0434120226986685	0.05462537123462028	16094.0	0.05462537123462028	0.0	0.017471604642532744	0.020696464609408115	6097.6958855468665	0.013888841747984727	0.03872380144251167
NZ_BMRF01000125.1	0.03556573591371781	0.046092490453966906	13580.0	0.046092490453966906	0.0	0.021249983144057887	0.029736388063922838	8761.083333333267	0.029101400084853627	0.01636996181586763
NZ_BMIV01000059.1	0.03357993489120727	0.01965888841747985	5792.0	0.01965888841747985	0.0	0.07093239039921606	0.056907570155774606	16766.392857145092	0.0514959694526941	0.02707509546033093
NZ_BHXD01000057.1	0.022363443662667053	0.016566822231650402	4881.0	0.016566822231650402	0.0	0.022363443662667053	0.016566822231650402	4881.0	0.016566822231650402	0.0
NZ_JADKPO010000068.1	0.019828094926044856	0.019112431056427664	5631.0	0.019112431056427664	0.0	0.0036334355717475507	0.0034158207618641525	1006.3861919642259	0.0018260500636402205	0.01634959694526941
NZ_RRUE01000006.1	0.019224337440875348	0.015083580823080187	4444.0	0.015083580823080187	0.0	0.00232907546399842	0.0018375509563642641	541.3884505188213	6.788290199406025e-05	0.014876537971998303
NZ_WJPN01000037.1	0.01590999572173472	0.008627916843445058	2542.0	0.008617734408145948	1.0182435299109036e-05	0.0018797803078078829	0.0012518888784003631	368.837760798707	0.0	0.014004242681374629
NZ_BNBF01000140.1	0.014369169935844632	0.013057276198557488	3847.0	0.013057276198557488	0.0	0.027460518361920996	0.023914976665251986	7045.949999999866	0.022910479422995334	0.00218582944420874
NZ_BNBF01000093.1	0.011581531249313671	0.007708103521425541	2271.0	0.007708103521425541	0.0	0.01873749238665081	0.014453797199830514	4258.450000000065	0.012276622825625796	0.015399236317352566
NZ_BHXD01000040.1	0.01061100680575649	0.01584386932541366	4668.0	0.01584386932541366	0.0	0.0026836198633718744	0.004782859567246721	1409.1500000000653	0.0017819261773440816	0.013729316928298685
NZ_QPLJ01000097.1	0.010605733247785677	0.021759864234196014	6411.0	0.021759864234196014	0.0	0.0060413644844503536	0.011904096544572484	3507.2444444446683	0.009944845142129826	0.006262197708952057
NZ_BNBF01000096.1	0.010102582255945168	0.005613915994908783	1654.0	0.005613915994908783	0.0	0.010102582255945168	0.005613915994908783	1654.0	0.005610521849809079	3.3941450997030124e-06
NZ_BNBF01000074.1	0.009200228281922561	0.005396690708527789	1590.0	0.005396690708527789	0.0	0.0072677837045791276	0.004441238862961392	1308.5	0.005393296563428087	0.0
NZ_BMRF01000083.1	0.008873901185474146	0.0064997878659312685	1915.0	0.0064997878659312685	0.0	0.0035561793049420976	0.0022907650968745728	674.916666666671	0.002179041154009334	0.003618158676283411
NZ_BMIV01000078.1	0.005716631616225803	0.0042291047942299535	1246.0	0.0042291047942299535	0.0	0.020404476141499994	0.017183708103521204	5062.7499999999345	0.009955027577428935	0.026450572761985574
NZ_BNBB01000081.1	0.004780641093263815	0.0034484514212982605	1016.0	0.0034484514212982605	0.0	0.00738905982842663	0.004137180031112994	1218.9166666666658	0.003838778107764107	0.004263046245226983
NZ_GG666997.1	0.004308319714316042	0.004748408994484514	1399.0	0.004748408994484514	0.0	0.002471411680207273	0.0037481911380430025	1104.3108140459196	0.003003818413237166	0.0015748833262621976
NZ_BNBF01000107.1	0.004203613767696121	0.003825201527365295	1127.0	0.003825201527365295	0.0	0.004203613767696121	0.0038235044548154433	1126.5	0.003825201527365295	0.0
NZ_BMIV01000076.1	0.0038080999511840717	0.002423419601187951	714.0	0.002423419601187951	0.0	0.06676561202798689	0.040354720488110764	11889.509523809635	0.06517437420449725	0.003645311837081035
NZ_BMIV01000088.1	0.0037290890025984897	0.002202800169707255	649.0	0.002202800169707255	0.0	0.003060443372691083	0.0020035355678121878	590.2916666666658	0.001955027577428935	0.0006075519728468392
NZ_BMSH01000129.1	0.002495333364256468	0.003251591005515486	958.0	0.003251591005515486	0.0	0.023514706367419962	0.01676219985172043	4938.563131313132	0.013963512940178193	0.00747051336444633
NZ_BMRF01000161.1	0.002445428700620393	0.00947645311837081	2792.0	0.00947645311837081	0.0	0.0024454287004816175	0.009463076193566098	2788.0588235294117	0.009459482392872295	6.788290199406025e-06
