Total Number of Aligned Reads:	232100	Total Number of Mapped Genomes:	20910
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_BMRF01000063.1	0.36100900154342497	0.250590262817751	58162.0	0.250590262817751	0.0	0.14073088471845824	0.09232399827661499	21428.400000002337	0.10364067212408444	0.13246445497630333
NZ_BMRF01000072.1	0.11371624340756153	0.12562257647565706	29157.0	0.12562257647565706	0.0	0.05072961524703597	0.05614454976303748	13031.150000001	0.05802240413614821	0.045911245152951315
NZ_BHXD01000053.1	0.07311879604591333	0.04964670400689358	11523.0	0.04964670400689358	0.0	0.07311879604591333	0.04961654459284791	11516.0	0.04961654459284791	0.0
NZ_BMRF01000099.1	0.04533227402966685	0.0357345971563981	8294.0	0.0357345971563981	0.0	0.02446755717339514	0.021183397960649112	4916.666666666659	0.02020680741059888	0.015351141749246015
NZ_WJPN01000037.1	0.04093131265330888	0.027970702283498492	6492.0	0.027970702283498492	0.0	0.0038087093405078797	0.0022888285599821216	531.2371087718504	8.61697544161999e-06	0.024674709177078844
NZ_BMRF01000083.1	0.040670860338362334	0.02937096079276174	6817.0	0.02937096079276174	0.0	0.017902662933762185	0.0113650725262101	2637.8333333333644	0.011434726411029729	0.016432572167169323
NZ_BMIV01000059.1	0.03076885627487696	0.022016372253339078	5110.0	0.022016372253339078	0.0	0.05744844189486157	0.05234302743070988	12148.816666667763	0.05080999569151228	0.026897888841016803
NZ_QPLJ01000067.1	0.030214023717621687	0.03932356742783283	9127.0	0.03932356742783283	0.0	0.011488446837167082	0.013444897519543112	3120.5607142859562	0.00838000861697544	0.02976734166307626
NZ_BHXD01000057.1	0.029282075785090185	0.01978026712623869	4591.0	0.01978026712623869	0.0	0.029282075785090185	0.01978026712623869	4591.0	0.01978026712623869	0.0
NZ_BMRF01000125.1	0.026785190536681023	0.030142180094786728	6996.0	0.030142180094786728	0.0	0.01693910570949253	0.019725692948441804	4578.333333333343	0.023614821197759588	0.006118052563550194
NZ_RRUE01000006.1	0.02368969428009979	0.015346833261525205	3562.0	0.015346833261525205	0.0	0.00295861401321495	0.0018305318855852	424.8664506443249	9.90952175786299e-05	0.015079707022834985
NZ_JADKPO010000068.1	0.01978899931091612	0.012632485997414908	2932.0	0.012632485997414908	0.0	0.005396076240122685	0.004579357763604167	1062.868936932527	0.0030461008186126667	0.01937526928048255
NZ_BNBF01000140.1	0.016528089081363665	0.015906936665230503	3692.0	0.015906936665230503	0.0	0.02716022976041755	0.024105055292258724	5594.78333333325	0.023218440327445068	0.0021499353726841877
NZ_CP035288.1	0.016519670390000078	0.00929340801378716	2157.0	0.00929340801378716	0.0	0.0031792246622682676	0.002623321701718782	608.8729669689293	0.0006936665230504093	0.007966393795777682
NZ_BNBF01000096.1	0.011448816269491683	0.005829383886255924	1353.0	0.005829383886255924	0.0	0.011448816358143193	0.005833692373976734	1354.0	0.005838000861697544	0.0
NZ_QPLJ01000097.1	0.010946535137847546	0.01953037483843171	4533.0	0.01953037483843171	0.0	0.00484849759275369	0.012007396237254627	2786.916666666799	0.00996122361051271	0.005872468763464024
NZ_BHXD01000040.1	0.010518731357984827	0.012205945713054717	2833.0	0.012205945713054717	0.0	0.0026435681858891537	0.00394944707740924	916.6666666666846	0.0016070659198621285	0.01035760448082723
