Total Number of Aligned Reads:	355521	Total Number of Mapped Genomes:	23545
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_BMRF01000063.1	0.3136308925613471	0.1291119230650229	45902.0	0.1291119230650229	0.0	0.11833292063735892	0.04679281330155219	16635.827777781135	0.04603947446142422	0.07227139887657831
NZ_CP032621.1	0.2580569331509512	0.1136247929095609	40396.0	0.11356009912213343	6.469378742746561e-05	0.01666399533948663	0.008481694166128198	3015.420391636063	0.0003094050703052703	0.06383307877734368
NZ_BMRF01000072.1	0.08898178008179579	0.05705992051102467	20286.0	0.05705992051102467	0.0	0.042988421404240876	0.02467917975778189	8773.966666666374	0.021818683003254378	0.024479566607879703
NZ_CP035288.1	0.030442177890289773	0.010997943862669153	3910.0	0.010997943862669153	0.0	0.011210598867097264	0.004823671508162395	1714.9165182534027	0.002950599261365714	0.007152882670784567
NZ_BHXD01000053.1	0.018681095055790728	0.009270901015692463	3296.0	0.009270901015692463	0.0	0.01868109505579066	0.0092315221885627	3282.0	0.0092315221885627	0.0
NZ_BMRF01000099.1	0.01855800225687722	0.009082445200142888	3229.0	0.009082445200142888	0.0	0.00947233694925645	0.00519706759000639	1847.6666666666617	0.005507410251433811	0.003555345535144197
NZ_BMIV01000059.1	0.017606514813691777	0.012424019959439809	4417.0	0.012424019959439809	0.0	0.04067755329217537	0.030321301762229882	10779.85952380973	0.029078451061962586	0.011017633276234035
NZ_BNBF01000074.1	0.016065658081086336	0.006199352499571052	2204.0	0.006199352499571052	0.0	0.01241156666501119	0.005048928192708729	1795.0	0.006188101406105406	0.0
NZ_CP012400.2	0.015215063873522817	0.005234571234891891	1861.0	0.005234571234891891	0.0	0.0012481061776223109	0.0008352507625918971	296.94918636743387	0.00014907698841981206	0.004475122425960773
NZ_BMRF01000083.1	0.014639029547299747	0.007045997282860928	2505.0	0.007045997282860928	0.0	0.006195379786409176	0.0027180766630757395	966.33333333335	0.0027171390719535555	0.004025078687334926
