Total Number of Aligned Reads:	1597105	Total Number of Mapped Genomes:	23211
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_GG666997.1	0.7610486126959446	0.7834312709558858	1251222.0	0.7834306448229765	6.261329092326428e-07	0.4412788855991851	0.5709499615796727	911867.0383887033	0.42446113436499167	0.2593818189787146
NC_007795.1	0.1199565096371493	0.0768653282032177	122762.0	0.0768653282032177	0.0	0.024435528443642097	0.022163326775207905	35397.160009318424	0.007540518625888717	0.06829356867582281
NZ_JIAH01000003.1	0.02492221377396097	0.017417139136124426	27817.0	0.017412130072850564	5.009063273861142e-06	0.021134106584210985	0.015535560789740789	24811.92181509896	0.01206182436345763	0.01005256385773008
NZ_BMRF01000063.1	0.015599794092072015	0.013908916445693928	22214.0	0.013908916445693928	0.0	0.005778613634280398	0.005438141721009472	8685.283333332833	0.004917021736203944	0.008355743673709618
NZ_REGE01000035.1	0.0130348912246397	0.013943353755701722	22269.0	0.01393584016079093	7.513594910791714e-06	0.1240312506154967	0.09303924106557511	148593.43710203533	0.04402277871523788	0.13339573791328685
NZ_CP040938.1	0.008114248684880742	0.005528127455615003	8829.0	0.005528127455615003	0.0	0.007873985112420961	0.005476082515383535	8745.87876573162	0.005290196950106599	0.00022415558150528611
NZ_BMRF01000072.1	0.0059314856814731845	0.005596375942721362	8938.0	0.005596375942721362	0.0	0.0030499619550272733	0.0027890777375313746	4454.450000000046	0.0025878073138585127	0.002086274853563166
NZ_JIAH01000004.1	0.0053656984036506775	0.0045432203893920565	7256.0	0.004540089724845893	3.1306645461632142e-06	0.00431303797690304	0.003994923275035663	6380.311937175832	0.003395518766768622	0.006326446914886623
NZ_GG666993.1	0.0050222842316688	0.007407152316222164	11830.0	0.007407152316222164	0.0	0.004916584612647638	0.007243844927153163	11569.180952380953	0.007223695373817	7.137915165252128e-05
NZ_QPLJ01000067.1	0.003726931176796066	0.00569092201201549	9089.0	0.00569092201201549	0.0	0.001561850663990398	0.0021716237261240855	3468.3111111114076	0.0014156865077750054	0.004163157713487842
NZ_BHXD01000053.1	0.0036505322555954703	0.003411172089499438	5448.0	0.003411172089499438	0.0	0.0036505322555954703	0.0034067891591348094	5441.0	0.0034067891591348094	0.0
NZ_GG666994.1	0.003379923033347935	0.005040369919322774	8050.0	0.005040369919322774	0.0	0.0032986911177853174	0.004996337122480989	7979.675	0.004995914482767257	1.127039236618757e-05
NZ_JADKPO010000068.1	0.0026889577188507533	0.0026460376744171484	4226.0	0.0026460376744171484	0.0	0.0005261654898266177	0.0006715675994603874	1072.5639709361822	0.0005641457512186111	0.001914088303524189
NZ_BHXD01000057.1	0.0025780876476757066	0.002225902492322045	3555.0	0.002225902492322045	0.0	0.0025780876476757066	0.002225902492322045	3555.0	0.002225902492322045	0.0
NZ_BMIV01000059.1	0.0024307278253024997	0.0016279455640048712	2600.0	0.0016279455640048712	0.0	0.004212129579977811	0.003349138716913481	5348.926190476105	0.003067425122330717	0.0014325920963242868
NZ_BMRF01000099.1	0.0023555125024535576	0.0019954855817244325	3187.0	0.0019954855817244325	0.0	0.0012163380809473178	0.0011722251615683742	1872.1666666666583	0.0010356238318707913	0.0009473390916689885
NZ_RRUE01000006.1	0.002305429898321639	0.0019291154933457726	3081.0	0.0019291154933457726	0.0	0.00028371787562995516	0.00025674676229602055	410.0515377967859	8.139727820024356e-06	0.0018909213858825814
NZ_BMRF01000083.1	0.0015013790693530172	0.0011214040404356632	1791.0	0.0011214040404356632	0.0	0.0006387962631451344	0.0004293184647638506	685.6666666666696	0.0004433020997367111	0.0005885649346786842
NZ_JADKPO010000073.1	0.001374272704211735	0.0015697152034462355	2507.0	0.0015697152034462355	0.0	0.00019968406053147943	0.00023139129122666825	369.556188174568	0.0001008073983864555	0.0009592356169444088
NZ_BNBF01000096.1	0.0013682755681280402	0.0008916132627472833	1424.0	0.0008916132627472833	0.0	0.0013682755675216466	0.0008919263292018997	1424.5	0.0008916132627472833	6.261329092326428e-07
NZ_QPLJ01000097.1	0.0012185011229839423	0.0027919266422683545	4459.0	0.0027919266422683545	0.0	0.000729069992949416	0.0016368791389062818	2614.2678571429174	0.0014595158114212904	0.0005497446943062604
