Total Number of Aligned Reads:	218666	Total Number of Mapped Genomes:	13100
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_GG666997.1	0.570973196425821	0.5401205491480157	118106.0	0.5401205491480157	0.0	0.3439267013387774	0.4073605624228957	89075.9047427649	0.2966945021173845	0.20224909222284215
NZ_BMRF01000063.1	0.08388072582591692	0.06086908801551224	13310.0	0.06086908801551224	0.0	0.029398035951665905	0.02180205015670953	4767.367099567046	0.021123540010792717	0.034733337601639026
NZ_BHXD01000053.1	0.05565980604710925	0.04323031472656929	9453.0	0.04323031472656929	0.0	0.05565980604710925	0.04323488791124363	9454.0	0.04320744880319757	2.7439108046061114e-05
NZ_BMRF01000072.1	0.04625221299754848	0.03515864377635298	7688.0	0.03515864377635298	0.0	0.025466798967604884	0.019919801584761143	4355.78333333338	0.018247006850630642	0.01234302543605316
NZ_QPLJ01000067.1	0.03770551980559972	0.04662361775493218	10195.0	0.04662361775493218	0.0	0.014974978679905415	0.016446130280015406	3596.2095238098486	0.010760703538730302	0.03166930386982887
NZ_BHXD01000057.1	0.029006033763154256	0.020913173515772914	4573.0	0.020913173515772914	0.0	0.029006033757590734	0.02091088692343574	4572.5	0.020913173515772914	0.0
NZ_BNBF01000096.1	0.0194177605377464	0.010884179524937577	2380.0	0.010884179524937577	0.0	0.019417760539793105	0.010886466117274748	2380.5	0.010884179524937577	4.573184674343519e-06
NZ_QPLJ01000097.1	0.014227380485175778	0.01805035990963387	3947.0	0.01805035990963387	0.0	0.008926703186774838	0.0097946182762751	2141.749999999971	0.008218012859795305	0.004125012576257855
NZ_BMRF01000099.1	0.013056124850119966	0.010650947106546056	2329.0	0.010650947106546056	0.0	0.00683672524182856	0.006437519626584221	1407.6666666666654	0.006996972551745585	0.003626535446754411
NZ_BNBF01000074.1	0.01304023857411412	0.007934475409986007	1735.0	0.007934475409986007	0.0	0.010326376253497449	0.006574524617453102	1437.625	0.007916182671288631	4.573184674343519e-06
NZ_BMIV01000059.1	0.012264806556316177	0.00696496025902518	1523.0	0.00696496025902518	0.0	0.02453480413012351	0.015771770645642665	3448.7500000000987	0.014227177521882689	0.007788133500407014
NZ_JADKPO010000068.1	0.009546478502387146	0.007911609486614289	1730.0	0.007911609486614289	0.0	0.0018249758055343263	0.001871187609098669	409.16510973116954	0.0015457364199281095	0.005876542306531422
NZ_BMRF01000125.1	0.009543728789704995	0.008812526867459963	1927.0	0.008812526867459963	0.0	0.005948083539704242	0.005968006000018289	1304.999999999999	0.005153979127985146	0.0035442181226162275
