Total Number of Aligned Reads:	1540956	Total Number of Mapped Genomes:	28331
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
NZ_JIAH01000003.1	0.5947322738868502	0.49495897352033413	762710.0	0.49495897352033413	0.0	0.3666813542975877	0.34674226063526903	534314.5669794816	0.26836716947141903	0.1556845231142226
NZ_CP024785.1	0.15607312715090685	0.14526112361417198	223841.0	0.14526112361417198	0.0	0.0345236744130781	0.026037743872429474	40123.01764668343	0.011119071537409245	0.0579419529175395
NZ_JIAH01000004.1	0.14392714694996833	0.11236401298933908	173148.0	0.11236401298933908	0.0	0.10371464269225444	0.09389497034590966	144688.01792435156	0.07834032899057468	0.03232214287753836
NZ_BMRF01000063.1	0.031578848410113367	0.020386046064910353	31414.0	0.020386046064910353	0.0	0.011885441798720591	0.007788850821780249	12002.276406927205	0.008497971389189568	0.01070050020896119
NZ_BMRF01000072.1	0.013417797008278737	0.008396735533006783	12939.0	0.008396735533006783	0.0	0.005983634307086944	0.0035911040505590425	5533.73333333326	0.0036490334571525726	0.0024361500263472805
NZ_BMSH01000129.1	0.009079509245114388	0.004633487263750555	7140.0	0.004633487263750555	0.0	0.00691948028190494	0.004498884675054514	6932.583333333303	0.004386887101254027	0.00023362120657565824
NZ_BHXD01000053.1	0.00797175281987771	0.0057581137942939314	8873.0	0.0057581137942939314	0.0	0.00797175281987771	0.005715499555687076	8807.333333333334	0.005714634291959017	1.29789559208699e-06
NZ_BNBF01000096.1	0.006759086161116123	0.003773631433992924	5815.0	0.003773631433992924	0.0	0.0067590861601980875	0.003772750719126865	5813.642857142857	0.003772333538400837	1.29789559208699e-06
NZ_BMIV01000059.1	0.00399401369093177	0.0022473062176986236	3463.0	0.0022473062176986236	0.0	0.007404925754374033	0.0044938947300369155	6924.894047618765	0.004352492868063721	0.0013348856164614694
NZ_BNBF01000107.1	0.003859573367583026	0.0025185663964448044	3881.0	0.0025185663964448044	0.0	0.003859573367583026	0.00251775521169975	3879.7500000000005	0.0025172685008527174	1.9468433881304854e-06
NZ_QPLJ01000067.1	0.0027570469556764386	0.002584759071641241	3983.0	0.002584759071641241	0.0	0.0009422687917598269	0.0008917559917555893	1374.1567460317258	0.0005353819317358835	0.001789149073691916
NZ_BHXD01000057.1	0.002674940024782917	0.001846905427539787	2846.0	0.001846905427539787	0.0	0.002674940024782917	0.001846905427539787	2846.0	0.001846905427539787	0.0
NZ_BMRF01000125.1	0.0015779664259750132	0.0011973086837002483	1845.0	0.0011973086837002483	0.0	0.0008871964988515973	0.0006899937441432484	1063.2500000000034	0.0007190341580161926	0.00045166766604627255
NZ_SGXC01000005.1	0.001051599647959369	0.008489535067841003	13082.0	0.00847785400751222	1.168106032878291e-05	7.026414052820109e-05	0.0009375415690732488	1444.710306112837	9.08526914460893e-06	0.0025120769184843695
NZ_BNBF01000140.1	0.0009408174339756403	0.0009643364249206337	1486.0	0.0009643364249206337	0.0	0.0020778851218173394	0.0018395290542581014	2834.633333333347	0.0017495632581332628	0.0002089611903260054
